id,Title,Description,GroupID,Step,RewardType0,RewardID0,RewardType1,RewardID1,RewardType2,RewardID2,Kind,TargetCount,Share,AchieveType,Args
1,자유를 향한 발걸음,포로 10명 구출,1,1,1,5000,,,,,,10,1,eRescurePrisoner,
2,공주님 구출작전!,스테이지 진행 1회,2,1,1,3000,,,,,,1,1,eStageEnter,
3,벌컥! 벌컥! 벌컥!!,물약 9회 사용,3,1,1,3000,,,,,,9,1,eUsePotion,
4,맛이 어떠냐!!,일반 : 적 30명 처치,4,1,1,3000,,,,,,30,1,eKillMonster,"0,-1"
5,으랏차차!,하드 : 적 30명 처치,5,1,1,5000,,,,,,30,1,eKillMonster,"1,-1"
6,오늘도 뚝딱 뚝딱!,아이템 강화 1회,6,1,1,5000,,,,,,1,1,eReinforceItem,
7,정리 정돈,아이템 판매 5회,7,1,1,3000,,,,,,5,1,eSellItem,
8,꿈 꾸는 자,디펜스 모드 전투 1회,8,1,1,3000,,,,,,1,1,eDefenceEnter,
9,힘의 증명,투기장 전투 1회,9,1,1,3000,,,,,,1,1,eArenaEnter,
10,임무 수행 완료!,일일 임무 3가지 완료\n(각성 포인트 지원 제외),10,1,2,5,,,,,1,3,1,eDailyAchieveComplete,
11,각성 포인트 지원,매일 매일 각성 포인트를 드려요!!,11,1,7,1,,,,,2,1,1,eDailyAwakenPoint,
